"FECHA","TMAX","TMIN","NOMBRE"
"29102","  23.0","  17.9"," AEROPARQUE AERO"
"28102","  26.0","  18.7"," AEROPARQUE AERO"
"27102","  25.2","  18.0"," AEROPARQUE AERO"
"26102","  23.0","  13.0"," AEROPARQUE AERO"
"25102","  18.7","  10.5"," AEROPARQUE AERO"
"24102","  19.6","  13.5"," AEROPARQUE AERO"
"23102","  20.0","  16.3"," AEROPARQUE AERO"
"22102","  24.0","  18.5"," AEROPARQUE AERO"
"21102","  23.0","  17.0"," AEROPARQUE AERO"
"20102","  22.5","  15.6"," AEROPARQUE AERO"
"19102","  19.5","  14.6"," AEROPARQUE AERO"
"18102","  17.7","  11.5"," AEROPARQUE AERO"
"17102","  21.5","   9.5"," AEROPARQUE AERO"
"16102","  23.5","  17.2"," AEROPARQUE AERO"
"15102","  21.5","  14.6"," AEROPARQUE AERO"
"14102","  20.1","  14.5"," AEROPARQUE AERO"
"13102","  17.3","   9.5"," AEROPARQUE AERO"
"12102","  15.0","   7.5"," AEROPARQUE AERO"
"11102","  22.0","  10.6"," AEROPARQUE AERO"
"10102","  27.0","  18.0"," AEROPARQUE AERO"
"9102","  27.2","  15.0"," AEROPARQUE AERO"
"8102","  25.4","  14.0"," AEROPARQUE AERO"
"7102","  20.7","  13.4"," AEROPARQUE AERO"
"6102","  27.0","  14.2"," AEROPARQUE AERO"
"5102","  25.0","  12.6"," AEROPARQUE AERO"
"4102","  20.3","  13.3"," AEROPARQUE AERO"
"3102","  19.0","  14.5"," AEROPARQUE AERO"
"2102","  18.0","  11.2"," AEROPARQUE AERO"
"1102","  18.3","   9.0"," AEROPARQUE AERO"
"30092","  17.0","   8.0"," AEROPARQUE AERO"
"29092","  21.0","  12.8"," AEROPARQUE AERO"
"28092","  19.5","  13.0"," AEROPARQUE AERO"
"27092","  18.7","   9.5"," AEROPARQUE AERO"
"26092","  15.5","  13.0"," AEROPARQUE AERO"
"25092","  16.0","  11.4"," AEROPARQUE AERO"
"24092","  17.2","  12.9"," AEROPARQUE AERO"
"23092","  16.3","  11.0"," AEROPARQUE AERO"
"22092","  18.8","  11.7"," AEROPARQUE AERO"
"21092","  20.5","  15.5"," AEROPARQUE AERO"
"20092","  16.8","  14.0"," AEROPARQUE AERO"
"19092","  16.1","  10.8"," AEROPARQUE AERO"
"18092","  17.7","  10.3"," AEROPARQUE AERO"
"17092","  20.6","  13.8"," AEROPARQUE AERO"
"16092","  26.7","  15.7"," AEROPARQUE AERO"
"15092","  24.3","  13.2"," AEROPARQUE AERO"
"14092","  18.6","   8.1"," AEROPARQUE AERO"
"13092","  17.2","  11.3"," AEROPARQUE AERO"
"12092","  18.9","  10.4"," AEROPARQUE AERO"
